ID,Type,Name,District,Coords,Latitude,Longitude
20,PARK,POLONEZKÖY PARKI,BEYKOZ,"41.11021957 , 29.20564190",41.11021957,29.20564190
21,PARK,POYRAZKÖY  PARKI,BEYKOZ,"41.20617845 , 29.13676009",41.20617845,29.13676009
22,PARK,"YALIKÖY SAHİL PARKI(Alan ölçme çalışması yapıldığında 
metraj bilgileri girilecektir.)",BEYKOZ,"41.13663146 , 29.08649683",41.13663146,29.08649683
23,PARK,POYRAZ  SEVGİ  PARKI,BEYKOZ,"41.20322614 , 29.13221776",41.20322614,29.13221776
24,PARK,RİVA PARKI,BEYKOZ,"41.22314918 , 29.21674490",41.22314918,29.21674490
25,PARK,SULTANİYE PARKI,BEYKOZ,"41.12355413 , 29.09933388",41.12355413,29.09933388
26,PARK,ZERZEVATÇI  PARKI,BEYKOZ,"41.12845970 , 29.15980428",41.12845970,29.15980428
27,PARK,ANADOLU HİSARI KALEİÇİ PARKI(RESTORASYON ÇALIŞMALARI),BEYKOZ,"41.08228984 , 29.06676516",41.08228984,29.06676516
28,PARK,BURUNBAHÇE MESİRE ALANI( BURUNBAHÇE  PARKI ),BEYKOZ,"41.08228984 , 29.06676516",41.08228984,29.06676516
29,PARK,BURUNBAHÇE MESİRE ALANI,BEYKOZ,"41.11212525 , 29.08593625",41.11212525,29.08593625
